Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-08-01T00:00Z,93,90,low
2023-08-01T00:30Z,94,92,low
2023-08-01T01:00Z,95,96,low
2023-08-01T01:30Z,92,97,low
2023-08-01T02:00Z,95,99,low
2023-08-01T02:30Z,95,96,low
2023-08-01T03:00Z,93,93,low
2023-08-01T03:30Z,93,97,low
2023-08-01T04:00Z,94,93,low
2023-08-01T04:30Z,97,95,low
2023-08-01T05:00Z,98,95,low
2023-08-01T05:30Z,105,102,low
2023-08-01T06:00Z,127,103,moderate
2023-08-01T06:30Z,132,104,moderate
2023-08-01T07:00Z,128,125,moderate
2023-08-01T07:30Z,129,131,moderate
2023-08-01T08:00Z,123,127,moderate
2023-08-01T08:30Z,125,128,moderate
2023-08-01T09:00Z,129,126,moderate
2023-08-01T09:30Z,130,127,moderate
2023-08-01T10:00Z,130,128,moderate
2023-08-01T10:30Z,134,132,moderate
2023-08-01T11:00Z,131,134,moderate
2023-08-01T11:30Z,133,141,moderate
2023-08-01T12:00Z,130,139,moderate
2023-08-01T12:30Z,131,138,moderate
2023-08-01T13:00Z,143,137,moderate
2023-08-01T13:30Z,148,137,moderate
2023-08-01T14:00Z,153,142,moderate
2023-08-01T14:30Z,164,155,moderate
2023-08-01T15:00Z,179,161,moderate
2023-08-01T15:30Z,190,171,moderate
2023-08-01T16:00Z,191,184,moderate
2023-08-01T16:30Z,201,191,high
2023-08-01T17:00Z,207,200,high
2023-08-01T17:30Z,212,208,high
2023-08-01T18:00Z,215,210,high
2023-08-01T18:30Z,218,209,high
2023-08-01T19:00Z,214,216,high
2023-08-01T19:30Z,215,224,high
2023-08-01T20:00Z,218,216,high
2023-08-01T20:30Z,213,220,high
2023-08-01T21:00Z,219,218,high
2023-08-01T21:30Z,213,211,high
2023-08-01T22:00Z,190,218,moderate
2023-08-01T22:30Z,165,209,moderate
2023-08-01T23:00Z,146,181,moderate
2023-08-01T23:30Z,130,176,moderate
2023-08-02T00:00Z,132,138,moderate
2023-08-02T00:30Z,122,130,moderate
2023-08-02T01:00Z,112,125,low
2023-08-02T01:30Z,107,114,low
2023-08-02T02:00Z,113,110,low
2023-08-02T02:30Z,103,107,low
2023-08-02T03:00Z,107,114,low
2023-08-02T03:30Z,105,103,low
2023-08-02T04:00Z,101,103,low
2023-08-02T04:30Z,106,99,low
2023-08-02T05:00Z,105,99,low
2023-08-02T05:30Z,110,107,low
2023-08-02T06:00Z,100,104,low
2023-08-02T06:30Z,98,111,low
2023-08-02T07:00Z,98,105,low
2023-08-02T07:30Z,95,98,low
2023-08-02T08:00Z,98,99,low
2023-08-02T08:30Z,96,98,low
2023-08-02T09:00Z,96,98,low
2023-08-02T09:30Z,96,94,low
2023-08-02T10:00Z,94,94,low
2023-08-02T10:30Z,97,98,low
2023-08-02T11:00Z,97,94,low
2023-08-02T11:30Z,97,96,low
2023-08-02T12:00Z,96,94,low
2023-08-02T12:30Z,99,98,low
2023-08-02T13:00Z,100,89,low
2023-08-02T13:30Z,100,88,low
2023-08-02T14:00Z,100,89,low
2023-08-02T14:30Z,101,107,low
2023-08-02T15:00Z,106,100,low
2023-08-02T15:30Z,115,102,low
2023-08-02T16:00Z,121,116,moderate
2023-08-02T16:30Z,119,124,low
2023-08-02T17:00Z,127,126,moderate
2023-08-02T17:30Z,132,125,moderate
2023-08-02T18:00Z,137,124,moderate
2023-08-02T18:30Z,135,131,moderate
2023-08-02T19:00Z,127,137,moderate
2023-08-02T19:30Z,131,133,moderate
2023-08-02T20:00Z,127,127,moderate
2023-08-02T20:30Z,117,134,low
2023-08-02T21:00Z,102,119,low
2023-08-02T21:30Z,86,102,low
2023-08-02T22:00Z,76,89,low
2023-08-02T22:30Z,73,78,low
2023-08-02T23:00Z,79,75,low
2023-08-02T23:30Z,82,72,low
2023-08-03T00:00Z,92,77,low
2023-08-03T00:30Z,95,82,low
2023-08-03T01:00Z,94,92,low
2023-08-03T01:30Z,92,99,low
2023-08-03T02:00Z,89,97,low
2023-08-03T02:30Z,91,97,low
2023-08-03T03:00Z,89,95,low
2023-08-03T03:30Z,95,98,low
2023-08-03T04:00Z,103,95,low
2023-08-03T04:30Z,104,98,low
2023-08-03T05:00Z,103,99,low
2023-08-03T05:30Z,103,107,low
2023-08-03T06:00Z,116,109,low
2023-08-03T06:30Z,113,103,low
2023-08-03T07:00Z,107,107,low
2023-08-03T07:30Z,104,100,low
2023-08-03T08:00Z,105,97,low
2023-08-03T08:30Z,101,101,low
2023-08-03T09:00Z,101,102,low
2023-08-03T09:30Z,100,102,low
2023-08-03T10:00Z,97,100,low
2023-08-03T10:30Z,98,101,low
2023-08-03T11:00Z,100,96,low
2023-08-03T11:30Z,104,98,low
2023-08-03T12:00Z,104,98,low
2023-08-03T12:30Z,101,101,low
2023-08-03T13:00Z,104,103,low
2023-08-03T13:30Z,107,103,low
2023-08-03T14:00Z,112,104,low
2023-08-03T14:30Z,115,106,low
2023-08-03T15:00Z,119,114,low
2023-08-03T15:30Z,128,116,moderate
2023-08-03T16:00Z,139,129,moderate
2023-08-03T16:30Z,146,139,moderate
2023-08-03T17:00Z,147,142,moderate
2023-08-03T17:30Z,148,149,moderate
2023-08-03T18:00Z,147,148,moderate
2023-08-03T18:30Z,151,153,moderate
2023-08-03T19:00Z,155,151,moderate
2023-08-03T19:30Z,156,153,moderate
2023-08-03T20:00Z,152,160,moderate
2023-08-03T20:30Z,149,165,moderate
2023-08-03T21:00Z,147,157,moderate
2023-08-03T21:30Z,142,143,moderate
2023-08-03T22:00Z,138,133,moderate
2023-08-03T22:30Z,129,131,moderate
2023-08-03T23:00Z,130,130,moderate
2023-08-03T23:30Z,131,126,moderate
2023-08-04T00:00Z,140,126,moderate
2023-08-04T00:30Z,135,127,moderate
2023-08-04T01:00Z,132,136,moderate
2023-08-04T01:30Z,128,134,moderate
2023-08-04T02:00Z,124,131,moderate
2023-08-04T02:30Z,121,126,moderate
2023-08-04T03:00Z,129,124,moderate
2023-08-04T03:30Z,131,122,moderate
2023-08-04T04:00Z,137,127,moderate
2023-08-04T04:30Z,142,130,moderate
2023-08-04T05:00Z,159,138,moderate
2023-08-04T05:30Z,168,141,moderate
2023-08-04T06:00Z,172,162,moderate
2023-08-04T06:30Z,174,175,moderate
2023-08-04T07:00Z,169,178,moderate
2023-08-04T07:30Z,168,175,moderate
2023-08-04T08:00Z,168,172,moderate
2023-08-04T08:30Z,172,170,moderate
2023-08-04T09:00Z,175,172,moderate
2023-08-04T09:30Z,180,175,moderate
2023-08-04T10:00Z,176,180,moderate
2023-08-04T10:30Z,172,184,moderate
2023-08-04T11:00Z,169,180,moderate
2023-08-04T11:30Z,173,177,moderate
2023-08-04T12:00Z,174,174,moderate
2023-08-04T12:30Z,176,174,moderate
2023-08-04T13:00Z,173,178,moderate
2023-08-04T13:30Z,172,178,moderate
2023-08-04T14:00Z,175,178,moderate
2023-08-04T14:30Z,182,180,moderate
2023-08-04T15:00Z,190,180,moderate
2023-08-04T15:30Z,203,182,high
2023-08-04T16:00Z,207,202,high
2023-08-04T16:30Z,212,208,high
2023-08-04T17:00Z,214,211,high
2023-08-04T17:30Z,220,216,high
2023-08-04T18:00Z,222,220,high
2023-08-04T18:30Z,228,225,high
2023-08-04T19:00Z,236,228,high
2023-08-04T19:30Z,241,238,high
2023-08-04T20:00Z,245,248,high
2023-08-04T20:30Z,245,249,high
2023-08-04T21:00Z,244,259,high
2023-08-04T21:30Z,247,256,high
2023-08-04T22:00Z,257,259,high
2023-08-04T22:30Z,255,254,high
2023-08-04T23:00Z,258,251,high
2023-08-04T23:30Z,247,256,high
2023-08-05T00:00Z,235,241,high
2023-08-05T00:30Z,229,242,high
2023-08-05T01:00Z,227,235,high
2023-08-05T01:30Z,220,224,high
2023-08-05T02:00Z,219,214,high
2023-08-05T02:30Z,212,215,high
2023-08-05T03:00Z,216,214,high
2023-08-05T03:30Z,208,206,high
2023-08-05T04:00Z,209,204,high
2023-08-05T04:30Z,198,194,moderate
2023-08-05T05:00Z,188,195,moderate
2023-08-05T05:30Z,181,191,moderate
2023-08-05T06:00Z,163,186,moderate
2023-08-05T06:30Z,167,178,moderate
2023-08-05T07:00Z,155,161,moderate
2023-08-05T07:30Z,169,159,moderate
2023-08-05T08:00Z,171,148,moderate
2023-08-05T08:30Z,178,167,moderate
2023-08-05T09:00Z,182,168,moderate
2023-08-05T09:30Z,182,177,moderate
2023-08-05T10:00Z,182,176,moderate
2023-08-05T10:30Z,179,180,moderate
2023-08-05T11:00Z,175,177,moderate
2023-08-05T11:30Z,156,173,moderate
2023-08-05T12:00Z,151,170,moderate
2023-08-05T12:30Z,143,147,moderate
2023-08-05T13:00Z,133,140,moderate
2023-08-05T13:30Z,134,137,moderate
2023-08-05T14:00Z,145,128,moderate
2023-08-05T14:30Z,145,126,moderate
2023-08-05T15:00Z,149,139,moderate
2023-08-05T15:30Z,156,150,moderate
2023-08-05T16:00Z,159,155,moderate
2023-08-05T16:30Z,162,155,moderate
2023-08-05T17:00Z,164,165,moderate
2023-08-05T17:30Z,170,163,moderate
2023-08-05T18:00Z,168,162,moderate
2023-08-05T18:30Z,170,167,moderate
2023-08-05T19:00Z,176,169,moderate
2023-08-05T19:30Z,173,166,moderate
2023-08-05T20:00Z,168,172,moderate
2023-08-05T20:30Z,160,177,moderate
2023-08-05T21:00Z,154,167,moderate
2023-08-05T21:30Z,136,152,moderate
2023-08-05T22:00Z,101,152,low
2023-08-05T22:30Z,97,142,low
2023-08-05T23:00Z,93,106,low
2023-08-05T23:30Z,95,99,low
2023-08-06T00:00Z,96,95,low
2023-08-06T00:30Z,97,96,low
2023-08-06T01:00Z,98,95,low
2023-08-06T01:30Z,99,99,low
2023-08-06T02:00Z,100,100,low
2023-08-06T02:30Z,100,101,low
2023-08-06T03:00Z,100,103,low
2023-08-06T03:30Z,104,104,low
2023-08-06T04:00Z,103,102,low
2023-08-06T04:30Z,103,104,low
2023-08-06T05:00Z,103,102,low
2023-08-06T05:30Z,100,102,low
2023-08-06T06:00Z,96,102,low
2023-08-06T06:30Z,93,99,low
2023-08-06T07:00Z,89,93,low
2023-08-06T07:30Z,82,91,low
2023-08-06T08:00Z,79,87,low
2023-08-06T08:30Z,69,78,low
2023-08-06T09:00Z,66,80,low
2023-08-06T09:30Z,66,69,low
2023-08-06T10:00Z,81,67,low
2023-08-06T10:30Z,79,66,low
2023-08-06T11:00Z,78,80,low
2023-08-06T11:30Z,75,78,low
2023-08-06T12:00Z,77,73,low
2023-08-06T12:30Z,73,74,low
2023-08-06T13:00Z,71,75,low
2023-08-06T13:30Z,73,67,low
2023-08-06T14:00Z,68,62,low
2023-08-06T14:30Z,72,64,low
2023-08-06T15:00Z,76,65,low
2023-08-06T15:30Z,91,72,low
2023-08-06T16:00Z,107,78,low
2023-08-06T16:30Z,115,89,low
2023-08-06T17:00Z,125,114,moderate
2023-08-06T17:30Z,131,120,moderate
2023-08-06T18:00Z,137,133,moderate
2023-08-06T18:30Z,142,142,moderate
2023-08-06T19:00Z,144,142,moderate
2023-08-06T19:30Z,153,148,moderate
2023-08-06T20:00Z,154,140,moderate
2023-08-06T20:30Z,148,147,moderate
2023-08-06T21:00Z,145,144,moderate
2023-08-06T21:30Z,138,137,moderate
2023-08-06T22:00Z,126,129,moderate
2023-08-06T22:30Z,116,124,low
2023-08-06T23:00Z,110,109,low
2023-08-06T23:30Z,114,107,low
2023-08-07T00:00Z,126,110,moderate
2023-08-07T00:30Z,124,105,moderate
2023-08-07T01:00Z,120,113,moderate
2023-08-07T01:30Z,118,110,low
2023-08-07T02:00Z,125,110,moderate
2023-08-07T02:30Z,129,110,moderate
2023-08-07T03:00Z,129,111,moderate
2023-08-07T03:30Z,131,119,moderate
2023-08-07T04:00Z,137,118,moderate
2023-08-07T04:30Z,143,118,moderate
2023-08-07T05:00Z,145,124,moderate
2023-08-07T05:30Z,159,160,moderate
2023-08-07T06:00Z,183,146,moderate
2023-08-07T06:30Z,177,178,moderate
2023-08-07T07:00Z,174,189,moderate
2023-08-07T07:30Z,166,177,moderate
2023-08-07T08:00Z,162,175,moderate
2023-08-07T08:30Z,157,163,moderate
2023-08-07T09:00Z,151,165,moderate
2023-08-07T09:30Z,149,152,moderate
2023-08-07T10:00Z,142,149,moderate
2023-08-07T10:30Z,137,150,moderate
2023-08-07T11:00Z,134,142,moderate
2023-08-07T11:30Z,132,139,moderate
2023-08-07T12:00Z,129,135,moderate
2023-08-07T12:30Z,129,135,moderate
2023-08-07T13:00Z,134,130,moderate
2023-08-07T13:30Z,133,131,moderate
2023-08-07T14:00Z,135,134,moderate
2023-08-07T14:30Z,136,140,moderate
2023-08-07T15:00Z,136,141,moderate
2023-08-07T15:30Z,139,144,moderate
2023-08-07T16:00Z,148,143,moderate
2023-08-07T16:30Z,151,149,moderate
2023-08-07T17:00Z,156,159,moderate
2023-08-07T17:30Z,161,167,moderate
2023-08-07T18:00Z,166,170,moderate
2023-08-07T18:30Z,173,168,moderate
2023-08-07T19:00Z,178,172,moderate
2023-08-07T19:30Z,178,182,moderate
2023-08-07T20:00Z,178,180,moderate
2023-08-07T20:30Z,173,176,moderate
2023-08-07T21:00Z,177,174,moderate
2023-08-07T21:30Z,164,172,moderate
2023-08-07T22:00Z,126,148,moderate
2023-08-07T22:30Z,110,144,low
2023-08-07T23:00Z,104,139,low
2023-08-07T23:30Z,109,105,low
2023-08-08T00:00Z,109,87,low
2023-08-08T00:30Z,111,102,low
2023-08-08T01:00Z,112,99,low
2023-08-08T01:30Z,107,103,low
2023-08-08T02:00Z,106,102,low
2023-08-08T02:30Z,108,96,low
2023-08-08T03:00Z,99,99,low
2023-08-08T03:30Z,100,103,low
2023-08-08T04:00Z,107,99,low
2023-08-08T04:30Z,127,101,moderate
2023-08-08T05:00Z,149,103,moderate
2023-08-08T05:30Z,173,118,moderate
2023-08-08T06:00Z,176,155,moderate
2023-08-08T06:30Z,178,174,moderate
2023-08-08T07:00Z,167,178,moderate
2023-08-08T07:30Z,166,181,moderate
2023-08-08T08:00Z,161,162,moderate
2023-08-08T08:30Z,157,167,moderate
2023-08-08T09:00Z,155,166,moderate
2023-08-08T09:30Z,150,158,moderate
2023-08-08T10:00Z,140,158,moderate
2023-08-08T10:30Z,139,153,moderate
2023-08-08T11:00Z,139,143,moderate
2023-08-08T11:30Z,135,139,moderate
2023-08-08T12:00Z,134,141,moderate
2023-08-08T12:30Z,134,138,moderate
2023-08-08T13:00Z,135,140,moderate
2023-08-08T13:30Z,138,141,moderate
2023-08-08T14:00Z,147,140,moderate
2023-08-08T14:30Z,151,139,moderate
2023-08-08T15:00Z,152,140,moderate
2023-08-08T15:30Z,159,153,moderate
2023-08-08T16:00Z,160,155,moderate
2023-08-08T16:30Z,162,161,moderate
2023-08-08T17:00Z,173,162,moderate
2023-08-08T17:30Z,177,168,moderate
2023-08-08T18:00Z,178,180,moderate
2023-08-08T18:30Z,182,185,moderate
2023-08-08T19:00Z,192,188,moderate
2023-08-08T19:30Z,197,184,moderate
2023-08-08T20:00Z,191,194,moderate
2023-08-08T20:30Z,187,197,moderate
2023-08-08T21:00Z,199,194,moderate
2023-08-08T21:30Z,187,184,moderate
2023-08-08T22:00Z,161,192,moderate
2023-08-08T22:30Z,143,181,moderate
2023-08-08T23:00Z,139,169,moderate
2023-08-08T23:30Z,133,142,moderate
2023-08-09T00:00Z,133,137,moderate
2023-08-09T00:30Z,128,138,moderate
2023-08-09T01:00Z,124,134,moderate
2023-08-09T01:30Z,120,134,moderate
2023-08-09T02:00Z,125,128,moderate
2023-08-09T02:30Z,131,122,moderate
2023-08-09T03:00Z,141,131,moderate
2023-08-09T03:30Z,141,143,moderate
2023-08-09T04:00Z,153,150,moderate
2023-08-09T04:30Z,166,151,moderate
2023-08-09T05:00Z,185,157,moderate
2023-08-09T05:30Z,197,181,moderate
2023-08-09T06:00Z,192,194,moderate
2023-08-09T06:30Z,187,206,moderate
2023-08-09T07:00Z,184,193,moderate
2023-08-09T07:30Z,182,183,moderate
2023-08-09T08:00Z,177,181,moderate
2023-08-09T08:30Z,175,183,moderate
2023-08-09T09:00Z,172,174,moderate
2023-08-09T09:30Z,168,175,moderate
2023-08-09T10:00Z,163,170,moderate
2023-08-09T10:30Z,165,168,moderate
2023-08-09T11:00Z,166,161,moderate
2023-08-09T11:30Z,167,167,moderate
2023-08-09T12:00Z,163,171,moderate
2023-08-09T12:30Z,163,172,moderate
2023-08-09T13:00Z,162,168,moderate
2023-08-09T13:30Z,162,169,moderate
2023-08-09T14:00Z,171,168,moderate
2023-08-09T14:30Z,180,170,moderate
2023-08-09T15:00Z,188,182,moderate
2023-08-09T15:30Z,203,192,high
2023-08-09T16:00Z,215,197,high
2023-08-09T16:30Z,224,210,high
2023-08-09T17:00Z,235,222,high
2023-08-09T17:30Z,241,226,high
2023-08-09T18:00Z,244,237,high
2023-08-09T18:30Z,251,242,high
2023-08-09T19:00Z,257,242,high
2023-08-09T19:30Z,260,247,high
2023-08-09T20:00Z,261,257,high
2023-08-09T20:30Z,260,258,high
2023-08-09T21:00Z,264,256,high
2023-08-09T21:30Z,250,261,high
2023-08-09T22:00Z,247,261,high
2023-08-09T22:30Z,233,254,high
2023-08-09T23:00Z,232,248,high
2023-08-09T23:30Z,230,236,high
2023-08-10T00:00Z,231,237,high
2023-08-10T00:30Z,229,234,high
2023-08-10T01:00Z,230,231,high
2023-08-10T01:30Z,228,228,high
2023-08-10T02:00Z,225,230,high
2023-08-10T02:30Z,226,229,high
2023-08-10T03:00Z,237,223,high
2023-08-10T03:30Z,237,227,high
2023-08-10T04:00Z,233,237,high
2023-08-10T04:30Z,236,236,high
2023-08-10T05:00Z,223,233,high
2023-08-10T05:30Z,228,234,high
2023-08-10T06:00Z,225,225,high
2023-08-10T06:30Z,219,227,high
2023-08-10T07:00Z,214,222,high
2023-08-10T07:30Z,209,214,high
2023-08-10T08:00Z,203,214,high
2023-08-10T08:30Z,198,208,moderate
2023-08-10T09:00Z,193,199,moderate
2023-08-10T09:30Z,190,194,moderate
2023-08-10T10:00Z,187,188,moderate
2023-08-10T10:30Z,183,186,moderate
2023-08-10T11:00Z,171,184,moderate
2023-08-10T11:30Z,166,181,moderate
2023-08-10T12:00Z,161,174,moderate
2023-08-10T12:30Z,157,169,moderate
2023-08-10T13:00Z,162,164,moderate
2023-08-10T13:30Z,162,156,moderate
2023-08-10T14:00Z,170,158,moderate
2023-08-10T14:30Z,173,156,moderate
2023-08-10T15:00Z,176,162,moderate
2023-08-10T15:30Z,181,164,moderate
2023-08-10T16:00Z,185,165,moderate
2023-08-10T16:30Z,192,173,moderate
2023-08-10T17:00Z,194,191,moderate
2023-08-10T17:30Z,199,194,moderate
2023-08-10T18:00Z,205,197,high
2023-08-10T18:30Z,212,201,high
2023-08-10T19:00Z,218,201,high
2023-08-10T19:30Z,217,205,high
2023-08-10T20:00Z,214,204,high
2023-08-10T20:30Z,213,202,high
2023-08-10T21:00Z,213,200,high
2023-08-10T21:30Z,203,197,high
2023-08-10T22:00Z,178,183,moderate
2023-08-10T22:30Z,164,167,moderate
2023-08-10T23:00Z,150,176,moderate
2023-08-10T23:30Z,140,156,moderate
2023-08-11T00:00Z,131,152,moderate
2023-08-11T00:30Z,123,140,moderate
2023-08-11T01:00Z,119,126,low
2023-08-11T01:30Z,114,120,low
2023-08-11T02:00Z,103,114,low
2023-08-11T02:30Z,101,118,low
2023-08-11T03:00Z,106,97,low
2023-08-11T03:30Z,108,93,low
2023-08-11T04:00Z,118,97,low
2023-08-11T04:30Z,119,99,low
2023-08-11T05:00Z,123,107,moderate
2023-08-11T05:30Z,130,114,moderate
2023-08-11T06:00Z,128,108,moderate
2023-08-11T06:30Z,126,121,moderate
2023-08-11T07:00Z,123,119,moderate
2023-08-11T07:30Z,118,118,low
2023-08-11T08:00Z,112,112,low
2023-08-11T08:30Z,102,108,low
2023-08-11T09:00Z,87,104,low
2023-08-11T09:30Z,76,97,low
2023-08-11T10:00Z,66,81,low
2023-08-11T10:30Z,65,75,low
2023-08-11T11:00Z,62,54,low
2023-08-11T11:30Z,62,57,low
2023-08-11T12:00Z,60,50,low
2023-08-11T12:30Z,60,52,low
2023-08-11T13:00Z,63,56,low
2023-08-11T13:30Z,62,56,low
2023-08-11T14:00Z,67,58,low
2023-08-11T14:30Z,70,59,low
2023-08-11T15:00Z,79,58,low
2023-08-11T15:30Z,93,62,low
2023-08-11T16:00Z,117,76,low
2023-08-11T16:30Z,139,83,moderate
2023-08-11T17:00Z,151,90,moderate
2023-08-11T17:30Z,158,141,moderate
2023-08-11T18:00Z,161,150,moderate
2023-08-11T18:30Z,164,151,moderate
2023-08-11T19:00Z,169,156,moderate
2023-08-11T19:30Z,173,159,moderate
2023-08-11T20:00Z,171,164,moderate
2023-08-11T20:30Z,171,164,moderate
2023-08-11T21:00Z,173,153,moderate
2023-08-11T21:30Z,169,162,moderate
2023-08-11T22:00Z,141,157,moderate
2023-08-11T22:30Z,147,155,moderate
2023-08-11T23:00Z,161,131,moderate
2023-08-11T23:30Z,166,135,moderate
2023-08-12T00:00Z,148,145,moderate
2023-08-12T00:30Z,145,144,moderate
2023-08-12T01:00Z,129,133,moderate
2023-08-12T01:30Z,123,124,moderate
2023-08-12T02:00Z,122,118,moderate
2023-08-12T02:30Z,118,108,low
2023-08-12T03:00Z,125,104,moderate
2023-08-12T03:30Z,117,106,low
2023-08-12T04:00Z,121,110,moderate
2023-08-12T04:30Z,121,100,moderate
2023-08-12T05:00Z,112,106,low
2023-08-12T05:30Z,110,103,low
2023-08-12T06:00Z,100,99,low
2023-08-12T06:30Z,97,96,low
2023-08-12T07:00Z,100,92,low
2023-08-12T07:30Z,115,86,low
2023-08-12T08:00Z,102,91,low
2023-08-12T08:30Z,86,86,low
2023-08-12T09:00Z,82,88,low
2023-08-12T09:30Z,75,78,low
2023-08-12T10:00Z,80,79,low
2023-08-12T10:30Z,73,69,low
2023-08-12T11:00Z,68,74,low
2023-08-12T11:30Z,66,64,low
2023-08-12T12:00Z,62,65,low
2023-08-12T12:30Z,62,63,low
2023-08-12T13:00Z,64,60,low
2023-08-12T13:30Z,63,58,low
2023-08-12T14:00Z,70,63,low
2023-08-12T14:30Z,72,57,low
2023-08-12T15:00Z,66,63,low
2023-08-12T15:30Z,73,63,low
2023-08-12T16:00Z,74,60,low
2023-08-12T16:30Z,78,66,low
2023-08-12T17:00Z,97,70,low
2023-08-12T17:30Z,109,75,low
2023-08-12T18:00Z,111,88,low
2023-08-12T18:30Z,112,98,low
2023-08-12T19:00Z,119,98,low
2023-08-12T19:30Z,121,103,moderate
2023-08-12T20:00Z,122,104,moderate
2023-08-12T20:30Z,117,105,low
2023-08-12T21:00Z,117,105,low
2023-08-12T21:30Z,110,102,low
2023-08-12T22:00Z,93,100,low
2023-08-12T22:30Z,89,101,low
2023-08-12T23:00Z,91,85,low
2023-08-12T23:30Z,87,81,low
2023-08-13T00:00Z,88,81,low
2023-08-13T00:30Z,91,80,low
2023-08-13T01:00Z,93,84,low
2023-08-13T01:30Z,95,84,low
2023-08-13T02:00Z,97,84,low
2023-08-13T02:30Z,95,87,low
2023-08-13T03:00Z,93,90,low
2023-08-13T03:30Z,95,91,low
2023-08-13T04:00Z,99,88,low
2023-08-13T04:30Z,97,91,low
2023-08-13T05:00Z,100,96,low
2023-08-13T05:30Z,104,94,low
2023-08-13T06:00Z,104,96,low
2023-08-13T06:30Z,100,95,low
2023-08-13T07:00Z,108,103,low
2023-08-13T07:30Z,113,89,low
2023-08-13T08:00Z,107,95,low
2023-08-13T08:30Z,103,93,low
2023-08-13T09:00Z,93,92,low
2023-08-13T09:30Z,86,100,low
2023-08-13T10:00Z,101,86,low
2023-08-13T10:30Z,96,80,low
2023-08-13T11:00Z,84,87,low
2023-08-13T11:30Z,73,82,low
2023-08-13T12:00Z,70,75,low
2023-08-13T12:30Z,71,66,low
2023-08-13T13:00Z,74,64,low
2023-08-13T13:30Z,79,60,low
2023-08-13T14:00Z,77,64,low
2023-08-13T14:30Z,83,79,low
2023-08-13T15:00Z,92,80,low
2023-08-13T15:30Z,99,82,low
2023-08-13T16:00Z,103,81,low
2023-08-13T16:30Z,114,94,low
2023-08-13T17:00Z,134,122,moderate
2023-08-13T17:30Z,148,125,moderate
2023-08-13T18:00Z,164,143,moderate
2023-08-13T18:30Z,174,155,moderate
2023-08-13T19:00Z,178,169,moderate
2023-08-13T19:30Z,181,176,moderate
2023-08-13T20:00Z,179,178,moderate
2023-08-13T20:30Z,182,180,moderate
2023-08-13T21:00Z,182,175,moderate
2023-08-13T21:30Z,178,169,moderate
2023-08-13T22:00Z,176,176,moderate
2023-08-13T22:30Z,176,176,moderate
2023-08-13T23:00Z,174,166,moderate
2023-08-13T23:30Z,175,173,moderate
2023-08-14T00:00Z,179,174,moderate
2023-08-14T00:30Z,179,174,moderate
2023-08-14T01:00Z,174,180,moderate
2023-08-14T01:30Z,178,183,moderate
2023-08-14T02:00Z,182,175,moderate
2023-08-14T02:30Z,180,176,moderate
2023-08-14T03:00Z,176,182,moderate
2023-08-14T03:30Z,174,180,moderate
2023-08-14T04:00Z,172,175,moderate
