Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-06-01T00:00Z,127,142,moderate
2023-06-01T00:30Z,128,137,moderate
2023-06-01T01:00Z,133,125,moderate
2023-06-01T01:30Z,131,127,moderate
2023-06-01T02:00Z,128,135,moderate
2023-06-01T02:30Z,131,134,moderate
2023-06-01T03:00Z,139,127,moderate
2023-06-01T03:30Z,140,131,moderate
2023-06-01T04:00Z,149,140,moderate
2023-06-01T04:30Z,153,137,moderate
2023-06-01T05:00Z,150,153,moderate
2023-06-01T05:30Z,154,170,moderate
2023-06-01T06:00Z,145,167,moderate
2023-06-01T06:30Z,154,161,moderate
2023-06-01T07:00Z,145,150,moderate
2023-06-01T07:30Z,143,153,moderate
2023-06-01T08:00Z,140,145,moderate
2023-06-01T08:30Z,136,142,moderate
2023-06-01T09:00Z,135,139,moderate
2023-06-01T09:30Z,126,132,moderate
2023-06-01T10:00Z,115,129,low
2023-06-01T10:30Z,109,122,low
2023-06-01T11:00Z,105,113,low
2023-06-01T11:30Z,101,109,low
2023-06-01T12:00Z,96,103,low
2023-06-01T12:30Z,90,96,low
2023-06-01T13:00Z,89,95,low
2023-06-01T13:30Z,90,85,low
2023-06-01T14:00Z,90,83,low
2023-06-01T14:30Z,96,84,low
2023-06-01T15:00Z,107,91,low
2023-06-01T15:30Z,113,97,low
2023-06-01T16:00Z,126,115,moderate
2023-06-01T16:30Z,140,118,moderate
2023-06-01T17:00Z,145,136,moderate
2023-06-01T17:30Z,146,139,moderate
2023-06-01T18:00Z,140,140,moderate
2023-06-01T18:30Z,142,139,moderate
2023-06-01T19:00Z,144,132,moderate
2023-06-01T19:30Z,140,135,moderate
2023-06-01T20:00Z,142,138,moderate
2023-06-01T20:30Z,136,140,moderate
2023-06-01T21:00Z,146,139,moderate
2023-06-01T21:30Z,142,137,moderate
2023-06-01T22:00Z,137,132,moderate
2023-06-01T22:30Z,129,126,moderate
2023-06-01T23:00Z,132,142,moderate
2023-06-01T23:30Z,131,138,moderate
2023-06-02T00:00Z,127,139,moderate
2023-06-02T00:30Z,132,138,moderate
2023-06-02T01:00Z,128,132,moderate
2023-06-02T01:30Z,132,130,moderate
2023-06-02T02:00Z,137,125,moderate
2023-06-02T02:30Z,142,124,moderate
2023-06-02T03:00Z,141,137,moderate
2023-06-02T03:30Z,142,137,moderate
2023-06-02T04:00Z,140,138,moderate
2023-06-02T04:30Z,141,139,moderate
2023-06-02T05:00Z,138,133,moderate
2023-06-02T05:30Z,144,143,moderate
2023-06-02T06:00Z,136,155,moderate
2023-06-02T06:30Z,143,145,moderate
2023-06-02T07:00Z,145,135,moderate
2023-06-02T07:30Z,144,133,moderate
2023-06-02T08:00Z,143,133,moderate
2023-06-02T08:30Z,134,126,moderate
2023-06-02T09:00Z,110,122,low
2023-06-02T09:30Z,114,117,low
2023-06-02T10:00Z,94,105,low
2023-06-02T10:30Z,87,98,low
2023-06-02T11:00Z,84,93,low
2023-06-02T11:30Z,78,86,low
2023-06-02T12:00Z,75,80,low
2023-06-02T12:30Z,85,76,low
2023-06-02T13:00Z,89,74,low
2023-06-02T13:30Z,90,72,low
2023-06-02T14:00Z,88,77,low
2023-06-02T14:30Z,96,78,low
2023-06-02T15:00Z,101,85,low
2023-06-02T15:30Z,115,101,low
2023-06-02T16:00Z,144,111,moderate
2023-06-02T16:30Z,157,130,moderate
2023-06-02T17:00Z,162,155,moderate
2023-06-02T17:30Z,169,160,moderate
2023-06-02T18:00Z,171,163,moderate
2023-06-02T18:30Z,175,171,moderate
2023-06-02T19:00Z,176,172,moderate
2023-06-02T19:30Z,182,176,moderate
2023-06-02T20:00Z,182,181,moderate
2023-06-02T20:30Z,181,184,moderate
2023-06-02T21:00Z,184,185,moderate
2023-06-02T21:30Z,174,183,moderate
2023-06-02T22:00Z,153,179,moderate
2023-06-02T22:30Z,144,165,moderate
2023-06-02T23:00Z,143,150,moderate
2023-06-02T23:30Z,141,145,moderate
2023-06-03T00:00Z,144,142,moderate
2023-06-03T00:30Z,148,139,moderate
2023-06-03T01:00Z,140,145,moderate
2023-06-03T01:30Z,137,143,moderate
2023-06-03T02:00Z,133,138,moderate
2023-06-03T02:30Z,132,136,moderate
2023-06-03T03:00Z,137,138,moderate
2023-06-03T03:30Z,132,135,moderate
2023-06-03T04:00Z,137,139,moderate
2023-06-03T04:30Z,141,131,moderate
2023-06-03T05:00Z,144,130,moderate
2023-06-03T05:30Z,139,150,moderate
2023-06-03T06:00Z,142,149,moderate
2023-06-03T06:30Z,141,139,moderate
2023-06-03T07:00Z,127,144,moderate
2023-06-03T07:30Z,120,140,moderate
2023-06-03T08:00Z,113,133,low
2023-06-03T08:30Z,102,121,low
2023-06-03T09:00Z,94,109,low
2023-06-03T09:30Z,89,80,low
2023-06-03T10:00Z,88,87,low
2023-06-03T10:30Z,82,70,low
2023-06-03T11:00Z,80,70,low
2023-06-03T11:30Z,79,68,low
2023-06-03T12:00Z,78,65,low
2023-06-03T12:30Z,77,67,low
2023-06-03T13:00Z,78,79,low
2023-06-03T13:30Z,78,78,low
2023-06-03T14:00Z,76,80,low
2023-06-03T14:30Z,84,83,low
2023-06-03T15:00Z,91,81,low
2023-06-03T15:30Z,107,88,low
2023-06-03T16:00Z,119,102,low
2023-06-03T16:30Z,132,115,moderate
2023-06-03T17:00Z,139,133,moderate
2023-06-03T17:30Z,146,142,moderate
2023-06-03T18:00Z,148,136,moderate
2023-06-03T18:30Z,155,160,moderate
2023-06-03T19:00Z,162,155,moderate
2023-06-03T19:30Z,161,162,moderate
2023-06-03T20:00Z,162,160,moderate
2023-06-03T20:30Z,165,163,moderate
2023-06-03T21:00Z,171,162,moderate
2023-06-03T21:30Z,165,163,moderate
2023-06-03T22:00Z,148,173,moderate
2023-06-03T22:30Z,143,159,moderate
2023-06-03T23:00Z,138,146,moderate
2023-06-03T23:30Z,138,149,moderate
2023-06-04T00:00Z,134,141,moderate
2023-06-04T00:30Z,135,141,moderate
2023-06-04T01:00Z,133,135,moderate
2023-06-04T01:30Z,133,142,moderate
2023-06-04T02:00Z,143,140,moderate
2023-06-04T02:30Z,140,135,moderate
2023-06-04T03:00Z,147,146,moderate
2023-06-04T03:30Z,143,147,moderate
2023-06-04T04:00Z,150,153,moderate
2023-06-04T04:30Z,147,144,moderate
2023-06-04T05:00Z,138,145,moderate
2023-06-04T05:30Z,132,154,moderate
2023-06-04T06:00Z,139,136,moderate
2023-06-04T06:30Z,137,133,moderate
2023-06-04T07:00Z,132,142,moderate
2023-06-04T07:30Z,125,140,moderate
2023-06-04T08:00Z,119,125,low
2023-06-04T08:30Z,113,117,low
2023-06-04T09:00Z,111,116,low
2023-06-04T09:30Z,104,110,low
2023-06-04T10:00Z,104,109,low
2023-06-04T10:30Z,102,103,low
2023-06-04T11:00Z,95,99,low
2023-06-04T11:30Z,93,96,low
2023-06-04T12:00Z,89,91,low
2023-06-04T12:30Z,89,93,low
2023-06-04T13:00Z,92,88,low
2023-06-04T13:30Z,93,90,low
2023-06-04T14:00Z,95,92,low
2023-06-04T14:30Z,103,95,low
2023-06-04T15:00Z,107,93,low
2023-06-04T15:30Z,118,104,low
2023-06-04T16:00Z,122,114,moderate
2023-06-04T16:30Z,137,136,moderate
2023-06-04T17:00Z,150,130,moderate
2023-06-04T17:30Z,156,148,moderate
2023-06-04T18:00Z,156,168,moderate
2023-06-04T18:30Z,161,162,moderate
2023-06-04T19:00Z,157,157,moderate
2023-06-04T19:30Z,157,157,moderate
2023-06-04T20:00Z,161,167,moderate
2023-06-04T20:30Z,161,168,moderate
2023-06-04T21:00Z,167,153,moderate
2023-06-04T21:30Z,162,154,moderate
2023-06-04T22:00Z,169,159,moderate
2023-06-04T22:30Z,166,146,moderate
2023-06-04T23:00Z,175,165,moderate
2023-06-04T23:30Z,177,170,moderate
2023-06-05T00:00Z,173,181,moderate
2023-06-05T00:30Z,176,181,moderate
2023-06-05T01:00Z,181,181,moderate
2023-06-05T01:30Z,180,177,moderate
2023-06-05T02:00Z,176,187,moderate
2023-06-05T02:30Z,176,182,moderate
2023-06-05T03:00Z,177,180,moderate
2023-06-05T03:30Z,171,176,moderate
2023-06-05T04:00Z,174,176,moderate
2023-06-05T04:30Z,182,175,moderate
2023-06-05T05:00Z,185,181,moderate
2023-06-05T05:30Z,194,192,moderate
2023-06-05T06:00Z,191,200,moderate
2023-06-05T06:30Z,192,197,moderate
2023-06-05T07:00Z,194,191,moderate
2023-06-05T07:30Z,192,196,moderate
2023-06-05T08:00Z,188,195,moderate
2023-06-05T08:30Z,182,197,moderate
2023-06-05T09:00Z,179,184,moderate
2023-06-05T09:30Z,177,174,moderate
2023-06-05T10:00Z,169,174,moderate
2023-06-05T10:30Z,166,172,moderate
2023-06-05T11:00Z,165,169,moderate
2023-06-05T11:30Z,157,165,moderate
2023-06-05T12:00Z,152,161,moderate
2023-06-05T12:30Z,148,150,moderate
2023-06-05T13:00Z,151,154,moderate
2023-06-05T13:30Z,150,150,moderate
2023-06-05T14:00Z,155,144,moderate
2023-06-05T14:30Z,156,146,moderate
2023-06-05T15:00Z,158,161,moderate
2023-06-05T15:30Z,166,164,moderate
2023-06-05T16:00Z,173,168,moderate
2023-06-05T16:30Z,177,166,moderate
2023-06-05T17:00Z,180,182,moderate
2023-06-05T17:30Z,184,179,moderate
2023-06-05T18:00Z,179,181,moderate
2023-06-05T18:30Z,182,181,moderate
2023-06-05T19:00Z,184,179,moderate
2023-06-05T19:30Z,187,187,moderate
2023-06-05T20:00Z,192,186,moderate
2023-06-05T20:30Z,191,189,moderate
2023-06-05T21:00Z,195,191,moderate
2023-06-05T21:30Z,187,189,moderate
2023-06-05T22:00Z,175,175,moderate
2023-06-05T22:30Z,172,175,moderate
2023-06-05T23:00Z,174,173,moderate
2023-06-05T23:30Z,174,165,moderate
2023-06-06T00:00Z,178,177,moderate
2023-06-06T00:30Z,180,179,moderate
2023-06-06T01:00Z,181,185,moderate
2023-06-06T01:30Z,182,182,moderate
2023-06-06T02:00Z,185,184,moderate
2023-06-06T02:30Z,186,186,moderate
2023-06-06T03:00Z,187,192,moderate
2023-06-06T03:30Z,187,188,moderate
2023-06-06T04:00Z,190,189,moderate
2023-06-06T04:30Z,196,187,moderate
2023-06-06T05:00Z,199,197,moderate
2023-06-06T05:30Z,203,206,high
2023-06-06T06:00Z,192,209,moderate
2023-06-06T06:30Z,195,207,moderate
2023-06-06T07:00Z,202,194,high
2023-06-06T07:30Z,202,195,high
2023-06-06T08:00Z,200,204,high
2023-06-06T08:30Z,196,204,moderate
2023-06-06T09:00Z,192,201,moderate
2023-06-06T09:30Z,190,195,moderate
2023-06-06T10:00Z,184,187,moderate
2023-06-06T10:30Z,182,185,moderate
2023-06-06T11:00Z,181,178,moderate
2023-06-06T11:30Z,177,176,moderate
2023-06-06T12:00Z,174,175,moderate
2023-06-06T12:30Z,171,171,moderate
2023-06-06T13:00Z,174,169,moderate
2023-06-06T13:30Z,173,167,moderate
2023-06-06T14:00Z,181,173,moderate
2023-06-06T14:30Z,183,177,moderate
2023-06-06T15:00Z,182,174,moderate
2023-06-06T15:30Z,188,191,moderate
2023-06-06T16:00Z,195,188,moderate
2023-06-06T16:30Z,200,191,high
2023-06-06T17:00Z,202,200,high
2023-06-06T17:30Z,205,201,high
2023-06-06T18:00Z,202,198,high
2023-06-06T18:30Z,204,201,high
2023-06-06T19:00Z,205,202,high
2023-06-06T19:30Z,207,207,high
2023-06-06T20:00Z,208,206,high
2023-06-06T20:30Z,207,210,high
2023-06-06T21:00Z,207,211,high
2023-06-06T21:30Z,203,202,high
2023-06-06T22:00Z,191,194,moderate
2023-06-06T22:30Z,186,187,moderate
2023-06-06T23:00Z,197,186,moderate
2023-06-06T23:30Z,199,189,moderate
2023-06-07T00:00Z,203,202,high
2023-06-07T00:30Z,204,201,high
2023-06-07T01:00Z,203,199,high
2023-06-07T01:30Z,200,205,high
2023-06-07T02:00Z,202,205,high
2023-06-07T02:30Z,202,202,high
2023-06-07T03:00Z,206,202,high
2023-06-07T03:30Z,206,205,high
2023-06-07T04:00Z,206,208,high
2023-06-07T04:30Z,211,207,high
2023-06-07T05:00Z,212,210,high
2023-06-07T05:30Z,217,221,high
2023-06-07T06:00Z,204,218,high
2023-06-07T06:30Z,203,214,high
2023-06-07T07:00Z,207,207,high
2023-06-07T07:30Z,206,202,high
2023-06-07T08:00Z,202,207,high
2023-06-07T08:30Z,195,202,moderate
2023-06-07T09:00Z,192,198,moderate
2023-06-07T09:30Z,124,191,moderate
2023-06-07T10:00Z,0,185,very low
2023-06-07T10:30Z,0,176,very low
2023-06-07T11:00Z,0,170,very low
2023-06-07T11:30Z,0,164,very low
2023-06-07T12:00Z,59,158,low
2023-06-07T12:30Z,91,151,low
2023-06-07T13:00Z,111,140,low
2023-06-07T13:30Z,127,133,moderate
2023-06-07T14:00Z,139,80,moderate
2023-06-07T14:30Z,161,82,moderate
2023-06-07T15:00Z,162,86,moderate
2023-06-07T15:30Z,168,88,moderate
2023-06-07T16:00Z,165,95,moderate
2023-06-07T16:30Z,172,105,moderate
2023-06-07T17:00Z,184,116,moderate
2023-06-07T17:30Z,191,121,moderate
2023-06-07T18:00Z,184,123,moderate
2023-06-07T18:30Z,186,137,moderate
2023-06-07T19:00Z,190,139,moderate
2023-06-07T19:30Z,192,143,moderate
2023-06-07T20:00Z,196,146,moderate
2023-06-07T20:30Z,192,146,moderate
2023-06-07T21:00Z,199,137,moderate
2023-06-07T21:30Z,190,130,moderate
2023-06-07T22:00Z,174,117,moderate
2023-06-07T22:30Z,165,111,moderate
2023-06-07T23:00Z,166,108,moderate
2023-06-07T23:30Z,164,112,moderate
2023-06-08T00:00Z,173,117,moderate
2023-06-08T00:30Z,174,119,moderate
2023-06-08T01:00Z,172,122,moderate
2023-06-08T01:30Z,170,125,moderate
2023-06-08T02:00Z,169,125,moderate
2023-06-08T02:30Z,168,124,moderate
2023-06-08T03:00Z,170,123,moderate
2023-06-08T03:30Z,171,123,moderate
2023-06-08T04:00Z,172,121,moderate
2023-06-08T04:30Z,179,120,moderate
2023-06-08T05:00Z,175,118,moderate
2023-06-08T05:30Z,177,126,moderate
2023-06-08T06:00Z,170,132,moderate
2023-06-08T06:30Z,169,138,moderate
2023-06-08T07:00Z,162,137,moderate
2023-06-08T07:30Z,159,129,moderate
2023-06-08T08:00Z,153,118,moderate
2023-06-08T08:30Z,142,112,moderate
2023-06-08T09:00Z,139,106,moderate
2023-06-08T09:30Z,128,103,moderate
2023-06-08T10:00Z,115,97,low
2023-06-08T10:30Z,116,91,low
2023-06-08T11:00Z,111,87,low
2023-06-08T11:30Z,107,81,low
2023-06-08T12:00Z,100,112,low
2023-06-08T12:30Z,98,100,low
2023-06-08T13:00Z,105,98,low
2023-06-08T13:30Z,103,95,low
2023-06-08T14:00Z,115,104,low
2023-06-08T14:30Z,119,105,low
2023-06-08T15:00Z,119,115,low
2023-06-08T15:30Z,130,128,moderate
2023-06-08T16:00Z,143,134,moderate
2023-06-08T16:30Z,151,147,moderate
2023-06-08T17:00Z,153,147,moderate
2023-06-08T17:30Z,157,147,moderate
2023-06-08T18:00Z,157,142,moderate
2023-06-08T18:30Z,160,143,moderate
2023-06-08T19:00Z,163,142,moderate
2023-06-08T19:30Z,163,132,moderate
2023-06-08T20:00Z,167,132,moderate
2023-06-08T20:30Z,165,126,moderate
2023-06-08T21:00Z,163,121,moderate
2023-06-08T21:30Z,152,161,moderate
2023-06-08T22:00Z,131,160,moderate
2023-06-08T22:30Z,121,150,moderate
2023-06-08T23:00Z,119,133,low
2023-06-08T23:30Z,113,136,low
2023-06-09T00:00Z,111,139,low
2023-06-09T00:30Z,113,110,low
2023-06-09T01:00Z,103,112,low
2023-06-09T01:30Z,103,107,low
2023-06-09T02:00Z,107,114,low
2023-06-09T02:30Z,114,106,low
2023-06-09T03:00Z,116,108,low
2023-06-09T03:30Z,112,111,low
2023-06-09T04:00Z,116,104,low
2023-06-09T04:30Z,121,113,moderate
2023-06-09T05:00Z,123,109,moderate
2023-06-09T05:30Z,135,87,moderate
2023-06-09T06:00Z,129,112,moderate
2023-06-09T06:30Z,124,116,moderate
2023-06-09T07:00Z,122,119,moderate
2023-06-09T07:30Z,119,117,low
2023-06-09T08:00Z,110,120,low
2023-06-09T08:30Z,107,118,low
2023-06-09T09:00Z,106,110,low
2023-06-09T09:30Z,98,100,low
2023-06-09T10:00Z,90,101,low
2023-06-09T10:30Z,81,93,low
2023-06-09T11:00Z,84,91,low
2023-06-09T11:30Z,83,81,low
2023-06-09T12:00Z,80,83,low
2023-06-09T12:30Z,80,81,low
2023-06-09T13:00Z,77,80,low
2023-06-09T13:30Z,78,79,low
2023-06-09T14:00Z,81,76,low
2023-06-09T14:30Z,85,77,low
2023-06-09T15:00Z,88,82,low
2023-06-09T15:30Z,101,85,low
2023-06-09T16:00Z,115,88,low
2023-06-09T16:30Z,128,100,moderate
2023-06-09T17:00Z,136,130,moderate
2023-06-09T17:30Z,142,131,moderate
2023-06-09T18:00Z,142,136,moderate
2023-06-09T18:30Z,150,143,moderate
2023-06-09T19:00Z,155,139,moderate
2023-06-09T19:30Z,151,150,moderate
2023-06-09T20:00Z,154,156,moderate
2023-06-09T20:30Z,157,143,moderate
2023-06-09T21:00Z,157,144,moderate
2023-06-09T21:30Z,146,149,moderate
2023-06-09T22:00Z,114,153,low
2023-06-09T22:30Z,104,149,low
2023-06-09T23:00Z,97,122,low
2023-06-09T23:30Z,95,111,low
2023-06-10T00:00Z,89,94,low
2023-06-10T00:30Z,87,98,low
2023-06-10T01:00Z,88,96,low
2023-06-10T01:30Z,87,105,low
2023-06-10T02:00Z,87,89,low
2023-06-10T02:30Z,87,88,low
2023-06-10T03:00Z,88,86,low
2023-06-10T03:30Z,87,83,low
2023-06-10T04:00Z,90,89,low
2023-06-10T04:30Z,90,94,low
2023-06-10T05:00Z,94,91,low
2023-06-10T05:30Z,95,89,low
2023-06-10T06:00Z,91,86,low
2023-06-10T06:30Z,90,88,low
2023-06-10T07:00Z,86,92,low
2023-06-10T07:30Z,84,96,low
2023-06-10T08:00Z,84,86,low
2023-06-10T08:30Z,79,82,low
2023-06-10T09:00Z,81,80,low
2023-06-10T09:30Z,77,77,low
2023-06-10T10:00Z,79,80,low
2023-06-10T10:30Z,72,75,low
2023-06-10T11:00Z,69,75,low
2023-06-10T11:30Z,68,69,low
2023-06-10T12:00Z,63,64,low
2023-06-10T12:30Z,60,62,low
2023-06-10T13:00Z,58,55,low
2023-06-10T13:30Z,58,58,low
2023-06-10T14:00Z,60,58,low
2023-06-10T14:30Z,58,55,low
2023-06-10T15:00Z,61,61,low
2023-06-10T15:30Z,71,63,low
2023-06-10T16:00Z,71,64,low
2023-06-10T16:30Z,81,70,low
2023-06-10T17:00Z,83,68,low
2023-06-10T17:30Z,94,77,low
2023-06-10T18:00Z,96,80,low
2023-06-10T18:30Z,106,94,low
2023-06-10T19:00Z,113,95,low
2023-06-10T19:30Z,112,102,low
2023-06-10T20:00Z,109,106,low
2023-06-10T20:30Z,113,105,low
2023-06-10T21:00Z,117,105,low
2023-06-10T21:30Z,114,108,low
2023-06-10T22:00Z,105,105,low
2023-06-10T22:30Z,102,110,low
2023-06-10T23:00Z,114,107,low
2023-06-10T23:30Z,110,112,low
2023-06-11T00:00Z,108,109,low
2023-06-11T00:30Z,116,116,low
2023-06-11T01:00Z,121,108,moderate
2023-06-11T01:30Z,127,119,moderate
2023-06-11T02:00Z,135,126,moderate
2023-06-11T02:30Z,141,117,moderate
2023-06-11T03:00Z,145,131,moderate
2023-06-11T03:30Z,148,136,moderate
2023-06-11T04:00Z,152,139,moderate
2023-06-11T04:30Z,153,147,moderate
2023-06-11T05:00Z,148,148,moderate
2023-06-11T05:30Z,143,158,moderate
2023-06-11T06:00Z,131,152,moderate
2023-06-11T06:30Z,139,148,moderate
2023-06-11T07:00Z,145,123,moderate
2023-06-11T07:30Z,151,131,moderate
2023-06-11T08:00Z,154,126,moderate
2023-06-11T08:30Z,154,137,moderate
2023-06-11T09:00Z,156,144,moderate
2023-06-11T09:30Z,154,137,moderate
2023-06-11T10:00Z,152,136,moderate
2023-06-11T10:30Z,153,141,moderate
2023-06-11T11:00Z,148,148,moderate
2023-06-11T11:30Z,145,142,moderate
2023-06-11T12:00Z,140,143,moderate
2023-06-11T12:30Z,139,147,moderate
2023-06-11T13:00Z,140,142,moderate
2023-06-11T13:30Z,142,145,moderate
